Datum	m3 kapljicno	m3 trata	set point	kolicina v rezervoarju	napaka	ventil
2017-4-17 4:10:50	0.00	0.00	1.05	8.05	-7.00	0
2017-4-17 4:10:55	0.00	0.00	1.05	8.06	-7.01	0
2017-4-17 4:11:0	0.00	0.00	1.05	8.10	-7.05	0
2017-4-17 4:11:5	0.00	0.00	1.05	8.10	-7.05	0
2017-4-17 4:11:10	0.00	0.00	1.05	8.06	-7.01	0
2017-4-17 4:11:15	0.00	0.00	1.05	8.05	-7.00	0
2017-4-17 4:11:20	0.00	0.00	1.05	8.10	-7.05	0
2017-4-17 4:11:25	0.00	0.00	1.05	8.07	-7.02	0
2017-4-17 4:11:30	0.00	0.00	1.05	8.03	-6.98	0
2017-4-17 4:11:35	0.00	0.00	1.05	8.03	-6.98	0
2017-4-17 4:11:40	0.00	0.00	1.05	8.10	-7.05	0
2017-4-17 4:11:45	0.00	0.00	1.05	8.05	-7.00	0
2017-4-17 4:11:50	0.00	0.00	1.05	8.03	-6.98	0
2017-4-17 4:11:55	0.00	0.00	1.05	8.11	-7.06	0
2017-4-17 4:12:0	0.00	0.00	1.05	8.05	-7.00	0
2017-4-17 4:12:5	0.00	0.00	1.05	8.05	-7.00	0
2017-4-17 4:12:10	0.00	0.00	1.05	8.04	-6.99	0
2017-4-17 4:12:15	0.00	0.00	1.05	8.07	-7.02	0
2017-4-17 4:12:20	0.00	0.00	1.05	8.02	-6.97	0
2017-4-17 4:12:25	0.00	0.00	1.05	8.03	-6.98	0
2017-4-17 4:12:30	0.00	0.00	1.05	8.07	-7.02	0
2017-4-17 4:12:35	0.00	0.00	1.05	8.08	-7.03	0
2017-4-17 4:12:40	0.00	0.00	1.05	8.05	-7.00	0
2017-4-17 4:12:45	0.00	0.00	1.05	8.06	-7.01	0
2017-4-17 4:12:50	0.00	0.00	1.05	8.07	-7.02	0
2017-4-17 4:12:55	0.00	0.00	1.05	8.06	-7.01	0
2017-4-17 4:13:0	0.00	0.00	1.05	8.07	-7.02	0
2017-4-17 4:13:5	0.00	0.00	1.05	8.09	-7.04	0
2017-4-17 4:13:10	0.00	0.00	1.05	8.08	-7.03	0
2017-4-17 4:13:15	0.00	0.00	1.05	8.03	-6.98	0
2017-4-17 4:13:20	0.00	0.00	1.05	8.03	-6.98	0
2017-4-17 4:13:25	0.00	0.00	1.05	8.05	-7.00	0
2017-4-17 4:13:30	0.00	0.00	1.05	8.05	-7.00	0
2017-4-17 4:13:35	0.00	0.00	1.05	8.09	-7.04	0
2017-4-17 4:13:40	0.00	0.00	1.05	8.07	-7.02	0
2017-4-17 4:13:45	0.00	0.00	1.05	8.08	-7.03	0
2017-4-17 4:13:50	0.00	0.00	1.05	8.03	-6.98	0
