Datum	m3 kapljicno	m3 trata	set point	kolicina v rezervoarju	napaka	ventil
2017-4-18 13:47:36	0,00	0,00	1,05	8,37	-7,32	0
2017-4-18 13:47:41	0,00	0,00	1,05	8,32	-7,27	0
2017-4-18 13:47:46	0,00	0,00	1,05	8,32	-7,27	0
2017-4-18 13:47:51	0,00	0,00	1,05	8,34	-7,29	0
2017-4-18 13:47:56	0,00	0,00	1,05	8,32	-7,27	0
2017-4-18 13:48:1	0,00	0,00	1,05	8,31	-7,26	0
2017-4-18 13:48:6	0,00	0,00	1,05	8,32	-7,27	0
2017-4-18 13:48:11	0,00	0,00	1,05	8,32	-7,27	0
2017-4-18 13:48:16	0,00	0,00	1,05	8,30	-7,25	0
2017-4-18 13:48:21	0,00	0,00	1,05	8,28	-7,23	0
2017-4-18 13:48:26	0,00	0,00	1,05	8,30	-7,25	0
2017-4-18 13:48:31	0,00	0,00	1,05	8,35	-7,30	0
2017-4-18 13:48:36	0,00	0,00	1,05	8,35	-7,30	0
2017-4-18 13:48:41	0,00	0,00	1,05	8,31	-7,26	0
2017-4-18 13:48:46	0,00	0,00	1,05	8,34	-7,29	0
2017-4-18 13:48:51	0,00	0,00	1,05	8,25	-7,20	0
2017-4-18 13:48:56	0,00	0,00	1,05	8,32	-7,27	0
2017-4-18 13:49:1	0,00	0,00	1,05	8,32	-7,27	0
2017-4-18 13:49:6	0,00	0,00	1,05	8,32	-7,27	0
2017-4-18 13:49:11	0,00	0,00	1,05	8,29	-7,24	0
2017-4-18 13:49:16	0,00	0,00	1,05	8,34	-7,29	0
2017-4-18 13:49:21	0,00	0,00	1,05	8,32	-7,27	0
2017-4-18 13:49:26	0,00	0,00	1,05	8,30	-7,25	0
2017-4-18 13:49:31	0,00	0,00	1,05	8,30	-7,25	0
2017-4-18 13:49:36	0,00	0,00	1,05	8,31	-7,26	0
2017-4-18 13:49:41	0,00	0,00	1,05	8,28	-7,23	0
2017-4-18 13:49:46	0,00	0,00	1,05	8,34	-7,29	0
2017-4-18 13:49:51	0,00	0,00	1,05	8,29	-7,24	0
2017-4-18 13:49:56	0,00	0,00	1,05	8,34	-7,29	0
2017-4-18 13:50:1	0,00	0,00	1,05	8,36	-7,31	0
2017-4-18 13:50:6	0,00	0,00	1,05	8,30	-7,25	0
2017-4-18 13:50:11	0,00	0,00	1,05	8,36	-7,31	0
2017-4-18 13:50:16	0,00	0,00	1,05	8,34	-7,29	0
2017-4-18 13:50:21	0,00	0,00	1,05	8,30	-7,25	0
2017-4-18 13:50:26	0,00	0,00	1,05	8,31	-7,26	0
2017-4-18 13:50:31	0,00	0,00	1,05	8,32	-7,27	0
2017-4-18 13:50:36	0,00	0,00	1,05	8,32	-7,27	0
2017-4-18 13:50:41	0,00	0,00	1,05	8,31	-7,26	0
2017-4-18 13:50:46	0,00	0,00	1,05	8,28	-7,23	0
2017-4-18 13:50:51	0,00	0,00	1,05	8,29	-7,24	0
2017-4-18 13:50:56	0,00	0,00	1,05	8,33	-7,28	0
2017-4-18 13:51:1	0,00	0,00	1,05	8,28	-7,23	0
2017-4-18 13:51:6	0,00	0,00	1,05	8,32	-7,27	0
2017-4-18 13:51:11	0,00	0,00	1,05	8,34	-7,29	0
2017-4-18 13:51:16	0,00	0,00	1,05	8,33	-7,28	0
2017-4-18 13:51:21	0,00	0,00	1,05	8,29	-7,24	0
2017-4-18 13:51:26	0,00	0,00	1,05	8,30	-7,25	0
2017-4-18 13:51:31	0,00	0,00	1,05	8,33	-7,28	0
2017-4-18 13:51:36	0,00	0,00	1,05	8,34	-7,29	0
2017-4-18 13:51:41	0,00	0,00	1,05	8,29	-7,24	0
2017-4-18 13:51:46	0,00	0,00	1,05	8,30	-7,25	0
2017-4-18 13:51:51	0,00	0,00	1,05	8,30	-7,25	0
2017-4-18 13:51:56	0,00	0,00	1,05	8,29	-7,24	0
2017-4-18 13:52:1	0,00	0,00	1,05	8,32	-7,27	0
2017-4-18 13:52:6	0,00	0,00	1,05	8,34	-7,29	0
2017-4-18 13:52:11	0,00	0,00	1,05	8,28	-7,23	0
2017-4-18 13:52:16	0,00	0,00	1,05	8,33	-7,28	0
2017-4-18 13:52:21	0,00	0,00	1,05	8,32	-7,27	0
2017-4-18 13:52:26	0,00	0,00	1,05	8,33	-7,28	0
2017-4-18 13:52:31	0,00	0,00	1,05	8,30	-7,25	0
2017-4-18 13:52:36	0,00	0,00	1,05	8,33	-7,28	0
2017-4-18 13:52:41	0,00	0,00	1,05	8,34	-7,29	0
2017-4-18 13:52:46	0,00	0,00	1,05	8,34	-7,29	0
2017-4-18 13:52:51	0,00	0,00	1,05	8,34	-7,29	0
2017-4-18 13:52:56	0,00	0,00	1,05	8,33	-7,28	0
2017-4-18 13:53:1	0,00	0,00	1,05	8,33	-7,28	0
2017-4-18 13:53:6	0,00	0,00	1,05	8,33	-7,28	0
2017-4-18 13:53:11	0,00	0,00	1,05	8,32	-7,27	0
2017-4-18 13:53:16	0,00	0,00	1,05	8,32	-7,27	0
2017-4-18 13:53:21	0,00	0,00	1,05	8,31	-7,26	0
2017-4-18 13:53:26	0,00	0,00	1,05	8,32	-7,27	0
2017-4-18 13:53:31	0,00	0,00	1,05	8,32	-7,27	0
2017-4-18 13:53:36	0,00	0,00	1,05	8,31	-7,26	0
2017-4-18 13:53:41	0,00	0,00	1,05	8,32	-7,27	0
2017-4-18 13:53:46	0,00	0,00	1,05	8,25	-7,20	0
2017-4-18 13:53:51	0,00	0,00	1,05	8,34	-7,29	0
2017-4-18 13:53:56	0,00	0,00	1,05	8,28	-7,23	0
2017-4-18 13:54:1	0,00	0,00	1,05	8,28	-7,23	0
2017-4-18 13:54:6	0,00	0,00	1,05	8,34	-7,29	0
2017-4-18 13:54:11	0,00	0,00	1,05	8,32	-7,27	0
2017-4-18 13:54:16	0,00	0,00	1,05	8,31	-7,26	0
2017-4-18 13:54:21	0,00	0,00	1,05	8,28	-7,23	0
2017-4-18 13:54:26	0,00	0,00	1,05	8,33	-7,28	0
2017-4-18 13:54:31	0,00	0,00	1,05	8,27	-7,22	0
2017-4-18 13:54:36	0,00	0,00	1,05	8,28	-7,23	0
2017-4-18 13:54:41	0,00	0,00	1,05	8,32	-7,27	0
2017-4-18 13:54:46	0,00	0,00	1,05	8,28	-7,23	0
2017-4-18 13:54:51	0,00	0,00	1,05	8,34	-7,29	0
2017-4-18 13:54:56	0,00	0,00	1,05	8,34	-7,29	0
2017-4-18 13:55:1	0,00	0,00	1,05	8,29	-7,24	0
2017-4-18 13:55:6	0,00	0,00	1,05	8,28	-7,23	0
2017-4-18 13:55:11	0,00	0,00	1,05	8,27	-7,22	0
2017-4-18 13:55:16	0,00	0,00	1,05	8,30	-7,25	0
2017-4-18 13:55:21	0,00	0,00	1,05	8,31	-7,26	0
2017-4-18 13:55:26	0,00	0,00	1,05	8,30	-7,25	0
2017-4-18 13:55:31	0,00	0,00	1,05	8,30	-7,25	0
2017-4-18 13:55:36	0,00	0,00	1,05	8,27	-7,22	0
2017-4-18 13:55:41	0,00	0,00	1,05	8,27	-7,22	0
2017-4-18 13:55:46	0,00	0,00	1,05	8,31	-7,26	0
2017-4-18 13:55:51	0,00	0,00	1,05	8,27	-7,22	0
2017-4-18 13:55:56	0,00	0,00	1,05	8,29	-7,24	0
2017-4-18 13:56:1	0,00	0,00	1,05	8,33	-7,28	0
2017-4-18 13:56:6	0,00	0,00	1,05	8,28	-7,23	0
2017-4-18 13:56:11	0,00	0,00	1,05	8,32	-7,27	0
2017-4-18 13:56:16	0,00	0,00	1,05	8,36	-7,31	0
2017-4-18 13:56:21	0,00	0,00	1,05	8,30	-7,25	0
2017-4-18 13:56:26	0,00	0,00	1,05	8,35	-7,30	0
2017-4-18 13:56:31	0,00	0,00	1,05	8,32	-7,27	0
2017-4-18 13:56:36	0,00	0,00	1,05	8,39	-7,34	0
2017-4-18 13:56:41	0,00	0,00	1,05	8,34	-7,29	0
2017-4-18 13:56:46	0,00	0,00	1,05	8,28	-7,23	0
2017-4-18 13:56:51	0,00	0,00	1,05	8,30	-7,25	0
2017-4-18 13:56:56	0,00	0,00	1,05	8,31	-7,26	0
2017-4-18 13:57:1	0,00	0,00	1,05	8,33	-7,28	0
2017-4-18 13:57:6	0,00	0,00	1,05	8,30	-7,25	0
2017-4-18 13:57:11	0,00	0,00	1,05	8,31	-7,26	0
2017-4-18 13:57:16	0,00	0,00	1,05	8,31	-7,26	0
2017-4-18 13:57:21	0,00	0,00	1,05	8,28	-7,23	0
2017-4-18 13:57:26	0,00	0,00	1,05	8,28	-7,23	0
2017-4-18 13:57:31	0,00	0,00	1,05	8,28	-7,23	0
2017-4-18 13:57:36	0,00	0,00	1,05	8,33	-7,28	0
2017-4-18 13:57:41	0,00	0,00	1,05	8,26	-7,21	0
2017-4-18 13:57:46	0,00	0,00	1,05	8,32	-7,27	0
2017-4-18 13:57:51	0,00	0,00	1,05	8,29	-7,24	0
2017-4-18 13:57:56	0,00	0,00	1,05	8,28	-7,23	0
2017-4-18 13:58:1	0,00	0,00	1,05	8,34	-7,29	0
2017-4-18 13:58:6	0,00	0,00	1,05	8,28	-7,23	0
2017-4-18 13:58:11	0,00	0,00	1,05	8,29	-7,24	0
2017-4-18 13:58:16	0,00	0,00	1,05	8,32	-7,27	0
2017-4-18 13:58:21	0,00	0,00	1,05	8,29	-7,24	0
2017-4-18 13:58:26	0,00	0,00	1,05	8,28	-7,23	0
2017-4-18 13:58:32	0,00	0,00	1,05	8,30	-7,25	0
2017-4-18 13:58:37	0,00	0,00	1,05	8,30	-7,25	0
2017-4-18 13:58:42	0,00	0,00	1,05	8,29	-7,24	0
2017-4-18 13:58:47	0,00	0,00	1,05	8,30	-7,25	0
2017-4-18 13:58:52	0,00	0,00	1,05	8,27	-7,22	0
2017-4-18 13:58:57	0,00	0,00	1,05	8,30	-7,25	0
2017-4-18 13:59:2	0,00	0,00	1,05	8,33	-7,28	0
2017-4-18 13:59:7	0,00	0,00	1,05	8,33	-7,28	0
2017-4-18 13:59:12	0,00	0,00	1,05	8,28	-7,23	0
2017-4-18 13:59:17	0,00	0,00	1,05	8,32	-7,27	0
2017-4-18 13:59:22	0,00	0,00	1,05	8,28	-7,23	0
2017-4-18 13:59:27	0,00	0,00	1,05	8,27	-7,22	0
2017-4-18 13:59:32	0,00	0,00	1,05	8,32	-7,27	0
2017-4-18 13:59:37	0,00	0,00	1,05	8,29	-7,24	0
2017-4-18 13:59:42	0,00	0,00	1,05	8,28	-7,23	0
2017-4-18 13:59:47	0,00	0,00	1,05	8,28	-7,23	0
2017-4-18 13:59:52	0,00	0,00	1,05	8,28	-7,23	0
2017-4-18 13:59:57	0,00	0,00	1,05	8,32	-7,27	0
2017-4-18 13:60:2	0,00	0,00	1,05	8,29	-7,24	0
2017-4-18 13:60:7	0,00	0,00	1,05	8,28	-7,23	0
2017-4-18 13:60:12	0,00	0,00	1,05	8,32	-7,27	0
2017-4-18 13:60:17	0,00	0,00	1,05	8,34	-7,29	0
2017-4-18 13:60:22	0,00	0,00	1,05	8,34	-7,29	0
2017-4-18 13:60:27	0,00	0,00	1,05	8,33	-7,28	0
2017-4-18 13:60:32	0,00	0,00	1,05	8,28	-7,23	0
2017-4-18 13:60:37	0,00	0,00	1,05	8,33	-7,28	0
2017-4-18 13:60:42	0,00	0,00	1,05	8,28	-7,23	0
2017-4-18 13:60:47	0,00	0,00	1,05	8,28	-7,23	0
