Datum	m3 kapljicno	m3 trata	set point	kolicina v rezervoarju	odstopanje	ventil
2017-4-19 24:15:41	0.00	0.00	1.05	2.00	-0.95	0
2017-4-19 24:15:46	0.00	0.00	1.05	1.87	-0.82	0
2017-4-19 24:15:51	0.00	0.00	1.05	1.91	-0.86	0
2017-4-19 24:15:56	0.00	0.00	1.05	2.08	-1.03	0
2017-4-19 24:16:1	0.00	0.00	1.05	1.91	-0.86	0
2017-4-19 24:16:6	0.00	0.00	1.05	2.04	-0.99	0
2017-4-19 24:16:11	0.00	0.00	1.05	2.08	-1.03	0
2017-4-19 24:16:16	0.00	0.00	1.05	1.87	-0.82	0
2017-4-19 24:16:21	0.00	0.00	1.05	2.08	-1.03	0
2017-4-19 24:16:26	0.00	0.00	1.05	2.04	-0.99	0
2017-4-19 24:16:31	0.00	0.00	1.05	1.95	-0.90	0
2017-4-19 24:16:36	0.00	0.00	1.05	2.08	-1.03	0
2017-4-19 24:16:41	0.00	0.00	1.05	1.95	-0.90	0
2017-4-19 24:16:46	0.00	0.00	1.05	1.95	-0.90	0
2017-4-19 24:16:51	0.00	0.00	1.05	1.95	-0.90	0
2017-4-19 24:16:56	0.00	0.00	1.05	1.95	-0.90	0
2017-4-19 24:17:1	0.00	0.00	1.05	2.08	-1.03	0
2017-4-19 24:17:6	0.00	0.00	1.05	2.08	-1.03	0
2017-4-19 24:17:11	0.00	0.00	1.05	1.95	-0.90	0
2017-4-19 24:17:16	0.00	0.00	1.05	1.95	-0.90	0
2017-4-19 24:17:21	0.00	0.00	1.05	1.95	-0.90	0
2017-4-19 24:17:26	0.00	0.00	1.05	1.91	-0.86	0
2017-4-19 24:17:31	0.00	0.00	1.05	1.91	-0.86	0
2017-4-19 24:17:36	0.00	0.00	1.05	2.04	-0.99	0
2017-4-19 24:17:41	0.00	0.00	1.05	2.08	-1.03	0
2017-4-19 24:17:46	0.00	0.00	1.05	2.08	-1.03	0
2017-4-19 24:17:51	0.00	0.00	1.05	2.08	-1.03	0
2017-4-19 24:17:56	0.00	0.00	1.05	2.08	-1.03	0
2017-4-19 24:18:1	0.00	0.00	1.05	2.08	-1.03	0
2017-4-19 24:18:6	0.00	0.00	1.05	2.04	-0.99	0
2017-4-19 24:18:11	0.00	0.00	1.05	1.87	-0.82	0
2017-4-19 24:18:16	0.00	0.00	1.05	2.04	-0.99	0
2017-4-19 24:18:21	0.00	0.00	1.05	1.87	-0.82	0
2017-4-19 24:18:26	0.00	0.00	1.05	1.87	-0.82	0
2017-4-19 24:18:31	0.00	0.00	1.05	2.00	-0.95	0
2017-4-19 24:18:36	0.00	0.00	1.05	2.04	-0.99	0
2017-4-19 24:18:41	0.00	0.00	1.05	2.04	-0.99	0
2017-4-19 24:18:46	0.00	0.00	1.05	1.87	-0.82	0
2017-4-19 24:18:51	0.00	0.00	1.05	2.04	-0.99	0
2017-4-19 24:18:56	0.00	0.00	1.05	1.87	-0.82	0
2017-4-19 24:19:1	0.00	0.00	1.05	1.87	-0.82	0
2017-4-19 24:19:6	0.00	0.00	1.05	1.87	-0.82	0
2017-4-19 24:19:11	0.00	0.00	1.05	1.87	-0.82	0
2017-4-19 24:19:16	0.00	0.00	1.05	2.04	-0.99	0
2017-4-19 24:19:21	0.00	0.00	1.05	2.04	-0.99	0
2017-4-19 24:19:26	0.00	0.00	1.05	1.87	-0.82	0
2017-4-19 24:19:31	0.00	0.00	1.05	2.04	-0.99	0
2017-4-19 24:19:36	0.00	0.00	1.05	1.95	-0.90	0
2017-4-19 24:19:41	0.00	0.00	1.05	2.04	-0.99	0
2017-4-19 24:19:46	0.00	0.00	1.05	1.91	-0.86	0
2017-4-19 24:19:51	0.00	0.00	1.05	2.08	-1.03	0
2017-4-19 24:19:56	0.00	0.00	1.05	2.04	-0.99	0
2017-4-19 24:20:1	0.00	0.00	1.05	1.95	-0.90	0
2017-4-19 24:20:6	0.00	0.00	1.05	1.95	-0.90	0
2017-4-19 24:20:11	0.00	0.00	1.05	2.04	-0.99	0
2017-4-19 24:20:16	0.00	0.00	1.05	1.95	-0.90	0
2017-4-19 24:20:21	0.00	0.00	1.05	1.95	-0.90	0
2017-4-19 24:20:26	0.00	0.00	1.05	2.08	-1.03	0
2017-4-19 24:20:31	0.00	0.00	1.05	1.95	-0.90	0
2017-4-19 24:20:36	0.00	0.00	1.05	2.04	-0.99	0
2017-4-19 24:20:41	0.00	0.00	1.05	2.04	-0.99	0
2017-4-19 24:20:46	0.00	0.00	1.05	2.00	-0.95	0
2017-4-19 24:20:51	0.00	0.00	1.05	2.04	-0.99	0
2017-4-19 24:20:56	0.00	0.00	1.05	2.00	-0.95	0
2017-4-19 24:21:2	0.00	0.00	1.05	1.91	-0.86	0
2017-4-19 24:21:7	0.00	0.00	1.05	1.91	-0.86	0
2017-4-19 24:21:12	0.00	0.00	1.05	1.95	-0.90	0
2017-4-19 24:21:17	0.00	0.00	1.05	2.08	-1.03	0
