Datum	m3 kapljicno	m3 trata	set point	kolicina v rezervoarju	napaka	ventil
2017-4-17 22:17:50	0.00	0.00	1.05	8.08	-7.03	0
2017-4-17 22:17:55	0.00	0.00	1.05	8.04	-6.99	0
2017-4-17 22:18:0	0.00	0.00	1.05	8.06	-7.01	0
2017-4-17 22:18:5	0.00	0.00	1.05	8.08	-7.03	0
2017-4-17 22:18:10	0.00	0.00	1.05	8.09	-7.04	0
2017-4-17 22:18:15	0.00	0.00	1.05	8.05	-7.00	0
2017-4-17 22:18:20	0.00	0.00	1.05	8.09	-7.04	0
2017-4-17 22:18:25	0.00	0.00	1.05	8.04	-6.99	0
2017-4-17 22:18:30	0.00	0.00	1.05	8.05	-7.00	0
2017-4-17 22:18:35	0.00	0.00	1.05	8.07	-7.02	0
2017-4-17 22:18:40	0.00	0.00	1.05	8.11	-7.06	0
2017-4-17 22:18:45	0.00	0.00	1.05	8.09	-7.04	0
2017-4-17 22:18:50	0.00	0.00	1.05	8.07	-7.02	0
2017-4-17 22:18:55	0.00	0.00	1.05	8.04	-6.99	0
2017-4-17 22:19:0	0.00	0.00	1.05	8.07	-7.02	0
2017-4-17 22:19:5	0.00	0.00	1.05	8.04	-6.99	0
2017-4-17 22:19:10	0.00	0.00	1.05	8.07	-7.02	0
2017-4-17 22:19:15	0.00	0.00	1.05	8.01	-6.96	0
2017-4-17 22:19:20	0.00	0.00	1.05	7.99	-6.94	0
2017-4-17 22:19:25	0.00	0.00	1.05	8.11	-7.06	0
2017-4-17 22:19:30	0.00	0.00	1.05	8.05	-7.00	0
2017-4-17 22:19:35	0.00	0.00	1.05	8.09	-7.04	0
2017-4-17 22:19:40	0.00	0.00	1.05	8.11	-7.06	0
2017-4-17 22:19:45	0.00	0.00	1.05	8.07	-7.02	0
2017-4-17 22:19:50	0.00	0.00	1.05	8.06	-7.01	0
2017-4-17 22:19:55	0.00	0.00	1.05	8.05	-7.00	0
2017-4-17 22:20:0	0.00	0.00	1.05	8.06	-7.01	0
2017-4-17 22:20:5	0.00	0.00	1.05	8.05	-7.00	0
2017-4-17 22:20:10	0.00	0.00	1.05	8.09	-7.04	0
2017-4-17 22:20:15	0.00	0.00	1.05	8.11	-7.06	0
2017-4-17 22:20:20	0.00	0.00	1.05	8.10	-7.05	0
2017-4-17 22:20:25	0.00	0.00	1.05	8.03	-6.98	0
2017-4-17 22:20:30	0.00	0.00	1.05	8.09	-7.04	0
2017-4-17 22:20:35	0.00	0.00	1.05	8.05	-7.00	0
2017-4-17 22:20:40	0.00	0.00	1.05	8.05	-7.00	0
2017-4-17 22:20:45	0.00	0.00	1.05	8.11	-7.06	0
2017-4-17 22:20:50	0.00	0.00	1.05	8.06	-7.01	0
2017-4-17 22:20:55	0.00	0.00	1.05	8.07	-7.02	0
2017-4-17 22:21:0	0.00	0.00	1.05	8.04	-6.99	0
2017-4-17 22:21:5	0.00	0.00	1.05	8.02	-6.97	0
2017-4-17 22:21:10	0.00	0.00	1.05	8.07	-7.02	0
2017-4-17 22:21:15	0.00	0.00	1.05	8.03	-6.98	0
2017-4-17 22:21:20	0.00	0.00	1.05	8.02	-6.97	0
2017-4-17 22:21:25	0.00	0.00	1.05	8.08	-7.03	0
2017-4-17 22:21:30	0.00	0.00	1.05	8.03	-6.98	0
2017-4-17 22:21:35	0.00	0.00	1.05	8.09	-7.04	0
2017-4-17 22:21:40	0.00	0.00	1.05	8.07	-7.02	0
2017-4-17 22:21:45	0.00	0.00	1.05	8.08	-7.03	0
2017-4-17 22:21:50	0.00	0.00	1.05	8.03	-6.98	0
2017-4-17 22:21:55	0.00	0.00	1.05	8.08	-7.03	0
2017-4-17 22:22:0	0.00	0.00	1.05	8.04	-6.99	0
2017-4-17 22:22:5	0.00	0.00	1.05	8.04	-6.99	0
2017-4-17 22:22:10	0.00	0.00	1.05	8.08	-7.03	0
2017-4-17 22:22:15	0.00	0.00	1.05	8.06	-7.01	0
2017-4-17 22:22:20	0.00	0.00	1.05	8.05	-7.00	0
2017-4-17 22:22:25	0.00	0.00	1.05	8.09	-7.04	0
2017-4-17 22:22:30	0.00	0.00	1.05	8.05	-7.00	0
2017-4-17 22:22:35	0.00	0.00	1.05	8.07	-7.02	0
2017-4-17 22:22:40	0.00	0.00	1.05	8.05	-7.00	0
2017-4-17 22:22:45	0.00	0.00	1.05	8.05	-7.00	0
2017-4-17 22:22:50	0.00	0.00	1.05	8.04	-6.99	0
2017-4-17 22:22:55	0.00	0.00	1.05	8.10	-7.05	0
2017-4-17 22:23:0	0.00	0.00	1.05	8.09	-7.04	0
2017-4-17 22:23:5	0.00	0.00	1.05	8.05	-7.00	0
2017-4-17 22:23:10	0.00	0.00	1.05	8.07	-7.02	0
2017-4-17 22:23:15	0.00	0.00	1.05	8.06	-7.01	0
2017-4-17 22:23:20	0.00	0.00	1.05	8.11	-7.06	0
2017-4-17 22:23:25	0.00	0.00	1.05	8.09	-7.04	0
2017-4-17 22:23:30	0.00	0.00	1.05	8.05	-7.00	0
