Datum	m3 kapljicno	m3 trata	set point	kolicina v rezervoarju	napaka	ventil
2017-4-18 7:21:43	0.00	0.00	1.05	8.01	-6.96	0
2017-4-18 7:21:48	0.00	0.00	1.05	8.03	-6.98	0
2017-4-18 7:21:53	0.00	0.00	1.05	8.07	-7.02	0
2017-4-18 7:21:58	0.00	0.00	1.05	8.07	-7.02	0
2017-4-18 7:22:3	0.00	0.00	1.05	8.06	-7.01	0
2017-4-18 7:22:8	0.00	0.00	1.05	8.11	-7.06	0
2017-4-18 7:22:13	0.00	0.00	1.05	8.05	-7.00	0
2017-4-18 7:22:18	0.00	0.00	1.05	8.05	-7.00	0
2017-4-18 7:22:23	0.00	0.00	1.05	8.09	-7.04	0
2017-4-18 7:22:28	0.00	0.00	1.05	8.03	-6.98	0
2017-4-18 7:22:33	0.00	0.00	1.05	8.03	-6.98	0
2017-4-18 7:22:38	0.00	0.00	1.05	8.09	-7.04	0
2017-4-18 7:22:43	0.00	0.00	1.05	8.01	-6.96	0
2017-4-18 7:22:48	0.00	0.00	1.05	8.06	-7.01	0
2017-4-18 7:22:53	0.00	0.00	1.05	8.07	-7.02	0
2017-4-18 7:22:58	0.00	0.00	1.05	8.07	-7.02	0
2017-4-18 7:23:3	0.00	0.00	1.05	8.14	-7.09	0
2017-4-18 7:23:8	0.00	0.00	1.05	8.05	-7.00	0
2017-4-18 7:23:13	0.00	0.00	1.05	8.06	-7.01	0
2017-4-18 7:23:18	0.00	0.00	1.05	8.08	-7.03	0
2017-4-18 7:23:23	0.00	0.00	1.05	8.02	-6.97	0
2017-4-18 7:23:28	0.00	0.00	1.05	8.09	-7.04	0
2017-4-18 7:23:33	0.00	0.00	1.05	8.04	-6.99	0
2017-4-18 7:23:38	0.00	0.00	1.05	8.03	-6.98	0
2017-4-18 7:23:43	0.00	0.00	1.05	8.09	-7.04	0
2017-4-18 7:23:48	0.00	0.00	1.05	8.03	-6.98	0
2017-4-18 7:23:53	0.00	0.00	1.05	8.05	-7.00	0
2017-4-18 7:23:58	0.00	0.00	1.05	8.08	-7.03	0
2017-4-18 7:24:3	0.00	0.00	1.05	8.05	-7.00	0
2017-4-18 7:24:8	0.00	0.00	1.05	8.10	-7.05	0
2017-4-18 7:24:13	0.00	0.00	1.05	8.09	-7.04	0
2017-4-18 7:24:18	0.00	0.00	1.05	8.02	-6.97	0
2017-4-18 7:24:24	0.00	0.00	1.05	8.07	-7.02	0
2017-4-18 7:24:29	0.00	0.00	1.05	8.11	-7.06	0
2017-4-18 7:24:34	0.00	0.00	1.05	8.05	-7.00	0
2017-4-18 7:24:39	0.00	0.00	1.05	8.08	-7.03	0
2017-4-18 7:24:44	0.00	0.00	1.05	8.01	-6.96	0
2017-4-18 7:24:49	0.00	0.00	1.05	8.09	-7.04	0
2017-4-18 7:24:54	0.00	0.00	1.05	8.03	-6.98	0
2017-4-18 7:24:59	0.00	0.00	1.05	8.04	-6.99	0
2017-4-18 7:25:4	0.00	0.00	1.05	8.09	-7.04	0
2017-4-18 7:25:9	0.00	0.00	1.05	8.07	-7.02	0
2017-4-18 7:25:14	0.00	0.00	1.05	8.05	-7.00	0
2017-4-18 7:25:19	0.00	0.00	1.05	8.10	-7.05	0
2017-4-18 7:25:24	0.00	0.00	1.05	8.07	-7.02	0
2017-4-18 7:25:29	0.00	0.00	1.05	8.02	-6.97	0
2017-4-18 7:25:34	0.00	0.00	1.05	8.05	-7.00	0
2017-4-18 7:25:39	0.00	0.00	1.05	8.06	-7.01	0
2017-4-18 7:25:44	0.00	0.00	1.05	8.11	-7.06	0
2017-4-18 7:25:49	0.00	0.00	1.05	8.05	-7.00	0
2017-4-18 7:25:54	0.00	0.00	1.05	8.05	-7.00	0
2017-4-18 7:25:59	0.00	0.00	1.05	8.05	-7.00	0
2017-4-18 7:26:4	0.00	0.00	1.05	8.04	-6.99	0
2017-4-18 7:26:9	0.00	0.00	1.05	8.03	-6.98	0
2017-4-18 7:26:14	0.00	0.00	1.05	8.07	-7.02	0
2017-4-18 7:26:19	0.00	0.00	1.05	8.06	-7.01	0
2017-4-18 7:26:24	0.00	0.00	1.05	8.09	-7.04	0
2017-4-18 7:26:29	0.00	0.00	1.05	8.07	-7.02	0
2017-4-18 7:26:34	0.00	0.00	1.05	8.03	-6.98	0
2017-4-18 7:26:39	0.00	0.00	1.05	8.07	-7.02	0
2017-4-18 7:26:44	0.00	0.00	1.05	8.07	-7.02	0
2017-4-18 7:26:49	0.00	0.00	1.05	8.08	-7.03	0
2017-4-18 7:26:54	0.00	0.00	1.05	8.04	-6.99	0
2017-4-18 7:26:59	0.00	0.00	1.05	8.09	-7.04	0
2017-4-18 7:27:4	0.00	0.00	1.05	8.03	-6.98	0
2017-4-18 7:27:9	0.00	0.00	1.05	8.09	-7.04	0
2017-4-18 7:27:14	0.00	0.00	1.05	8.02	-6.97	0
2017-4-18 7:27:19	0.00	0.00	1.05	8.07	-7.02	0
2017-4-18 7:27:24	0.00	0.00	1.05	8.09	-7.04	0
2017-4-18 7:27:29	0.00	0.00	1.05	8.05	-7.00	0
2017-4-18 7:27:34	0.00	0.00	1.05	8.07	-7.02	0
2017-4-18 7:27:39	0.00	0.00	1.05	8.10	-7.05	0
2017-4-18 7:27:44	0.00	0.00	1.05	8.03	-6.98	0
2017-4-18 7:27:49	0.00	0.00	1.05	8.04	-6.99	0
2017-4-18 7:27:54	0.00	0.00	1.05	8.09	-7.04	0
2017-4-18 7:27:59	0.00	0.00	1.05	8.10	-7.05	0
2017-4-18 7:28:4	0.00	0.00	1.05	8.09	-7.04	0
2017-4-18 7:28:9	0.00	0.00	1.05	8.07	-7.02	0
2017-4-18 7:28:14	0.00	0.00	1.05	8.03	-6.98	0
2017-4-18 7:28:19	0.00	0.00	1.05	8.06	-7.01	0
2017-4-18 7:28:24	0.00	0.00	1.05	8.03	-6.98	0
2017-4-18 7:28:29	0.00	0.00	1.05	8.07	-7.02	0
2017-4-18 7:28:34	0.00	0.00	1.05	8.07	-7.02	0
2017-4-18 7:28:39	0.00	0.00	1.05	8.01	-6.96	0
2017-4-18 7:28:44	0.00	0.00	1.05	8.03	-6.98	0
2017-4-18 7:28:49	0.00	0.00	1.05	8.07	-7.02	0
2017-4-18 7:28:54	0.00	0.00	1.05	8.07	-7.02	0
