Datum	m3 kapljicno	m3 trata	set point	kolicina v rezervoarju	odstopanje	ventil
2017-4-21 10:35:57	0,00	0,00	1,05	1,91	-0,86	0
2017-4-21 10:36:2	0,00	0,00	1,05	1,91	-0,86	0
2017-4-21 10:36:7	0,00	0,00	1,05	2,04	-0,99	0
2017-4-21 10:36:12	0,00	0,00	1,05	1,87	-0,82	0
2017-4-21 10:36:17	0,00	0,00	1,05	2,04	-0,99	0
2017-4-21 10:36:22	0,00	0,00	1,05	2,04	-0,99	0
2017-4-21 10:36:27	0,00	0,00	1,05	2,04	-0,99	0
2017-4-21 10:36:32	0,00	0,00	1,05	2,13	-1,08	0
2017-4-21 10:36:37	0,00	0,00	1,05	1,95	-0,90	0
2017-4-21 10:36:42	0,00	0,00	1,05	2,04	-0,99	0
2017-4-21 10:36:47	0,00	0,00	1,05	1,95	-0,90	0
2017-4-21 10:36:52	0,00	0,00	1,05	2,04	-0,99	0
2017-4-21 10:36:57	0,00	0,00	1,05	2,00	-0,95	0
2017-4-21 10:37:2	0,00	0,00	1,05	1,95	-0,90	0
2017-4-21 10:37:7	0,00	0,00	1,05	2,04	-0,99	0
2017-4-21 10:37:12	0,00	0,00	1,05	1,95	-0,90	0
2017-4-21 10:37:17	0,00	0,00	1,05	1,95	-0,90	0
2017-4-21 10:37:22	0,00	0,00	1,05	2,08	-1,03	0
2017-4-21 10:37:27	0,00	0,00	1,05	1,91	-0,86	0
2017-4-21 10:37:32	0,00	0,00	1,05	1,91	-0,86	0
2017-4-21 10:37:37	0,00	0,00	1,05	2,08	-1,03	0
2017-4-21 10:37:42	0,00	0,00	1,05	2,00	-0,95	0
2017-4-21 10:37:47	0,00	0,00	1,05	1,95	-0,90	0
2017-4-21 10:37:52	0,00	0,00	1,05	1,95	-0,90	0
2017-4-21 10:37:57	0,00	0,00	1,05	2,04	-0,99	0
2017-4-21 10:38:2	0,00	0,00	1,05	1,91	-0,86	0
2017-4-21 10:38:7	0,00	0,00	1,05	1,95	-0,90	0
2017-4-21 10:38:12	0,00	0,00	1,05	2,04	-0,99	0
2017-4-21 10:38:17	0,00	0,00	1,05	1,87	-0,82	0
2017-4-21 10:38:22	0,00	0,00	1,05	2,04	-0,99	0
2017-4-21 10:38:27	0,00	0,00	1,05	2,04	-0,99	0
2017-4-21 10:38:32	0,00	0,00	1,05	1,95	-0,90	0
2017-4-21 10:38:37	0,00	0,00	1,05	1,95	-0,90	0
2017-4-21 10:38:42	0,00	0,00	1,05	1,91	-0,86	0
2017-4-21 10:38:47	0,00	0,00	1,05	2,08	-1,03	0
2017-4-21 10:38:52	0,00	0,00	1,05	2,08	-1,03	0
2017-4-21 10:38:57	0,00	0,00	1,05	2,08	-1,03	0
2017-4-21 10:39:2	0,00	0,00	1,05	2,08	-1,03	0
2017-4-21 10:39:7	0,00	0,00	1,05	2,08	-1,03	0
2017-4-21 10:39:12	0,00	0,00	1,05	1,91	-0,86	0
2017-4-21 10:39:17	0,00	0,00	1,05	2,08	-1,03	0
2017-4-21 10:39:22	0,00	0,00	1,05	2,00	-0,95	0
2017-4-21 10:39:27	0,00	0,00	1,05	2,00	-0,95	0
2017-4-21 10:39:32	0,00	0,00	1,05	2,00	-0,95	0
2017-4-21 10:39:37	0,00	0,00	1,05	2,00	-0,95	0
2017-4-21 10:39:42	0,00	0,00	1,05	2,00	-0,95	0
2017-4-21 10:39:47	0,00	0,00	1,05	1,95	-0,90	0
2017-4-21 10:39:52	0,00	0,00	1,05	1,95	-0,90	0
2017-4-21 10:39:57	0,00	0,00	1,05	1,95	-0,90	0
2017-4-21 10:40:2	0,00	0,00	1,05	1,95	-0,90	0
2017-4-21 10:40:7	0,00	0,00	1,05	2,00	-0,95	0
2017-4-21 10:40:12	0,00	0,00	1,05	2,00	-0,95	0
2017-4-21 10:40:17	0,00	0,00	1,05	2,04	-0,99	0
2017-4-21 10:40:22	0,00	0,00	1,05	1,91	-0,86	0
2017-4-21 10:40:27	0,00	0,00	1,05	1,91	-0,86	0
2017-4-21 10:40:32	0,00	0,00	1,05	2,08	-1,03	0
